age,income,credit_score,years_employed,debt_to_income,num_credit_cards,education,marital_status,credit_limit,loan_default
52,25874.0,569,3.9,0.269,5,1,0,9131,0
43,,613,0.1,0.059,5,0,1,9690,0
55,20000.0,578,18.3,0.088,2,2,1,15311,0
68,27887.0,663,6.0,0.182,3,3,0,13221,0
41,65268.0,794,15.2,0.162,3,3,0,24805,0
41,20000.0,557,0.5,0.238,4,0,2,5757,0
69,84018.0,770,2.1,0.337,1,2,1,17873,0
57,53649.0,556,2.4,0.142,2,2,1,13740,0
38,20183.0,548,3.9,0.577,7,1,1,1470,0
53,32428.0,748,13.0,0.271,3,1,0,13484,0
38,130439.0,761,3.9,0.285,2,1,0,25176,0
38,65306.0,752,1.8,0.205,3,1,1,15636,0
49,36572.0,492,0.5,0.349,1,2,2,7093,0
18,30027.0,594,0.7,0.216,3,1,1,9596,0
19,38611.0,749,11.4,0.126,2,1,2,18436,0
37,24115.0,655,,0.251,2,0,0,9749,0
30,20000.0,521,10.4,0.276,1,2,1,8246,0
50,186045.0,705,9.2,0.167,2,0,0,36793,0
31,41120.0,564,1.2,0.131,0,0,1,11472,0
24,49937.0,850,1.2,0.196,5,2,0,16148,0
67,34672.0,835,11.3,0.231,2,2,1,17596,0
42,20169.0,722,10.2,0.277,4,0,1,9956,0
46,31296.0,813,3.8,0.312,3,3,1,12017,0
24,20000.0,658,0.6,0.242,4,2,0,8590,0
37,224509.0,742,0.1,0.157,4,2,0,41388,0
47,20000.0,827,2.7,0.268,1,2,0,9120,0
28,20000.0,679,0.1,0.155,3,1,1,10017,0
51,25535.0,619,2.1,0.086,4,1,0,11329,0
36,101769.0,445,4.4,0.139,3,3,0,22179,0
41,,640,1.0,0.189,1,0,1,10988,0
36,20000.0,749,0.9,0.24,2,2,0,8828,0
73,99059.0,763,18.1,0.175,3,1,1,27942,0
45,65173.0,711,7.0,0.252,5,1,0,17582,0
29,55868.0,585,21.8,0.211,3,1,2,19991,0
57,64382.0,413,3.4,0.187,4,2,1,13568,0
27,246592.0,591,9.0,0.068,6,2,1,45144,0
48,208580.0,613,1.8,0.05,4,0,2,37948,0
18,20965.0,612,,0.082,4,2,2,13288,0
25,133134.0,724,1.1,0.157,2,1,0,26443,0
48,,850,0.0,0.112,2,2,0,15213,0
56,54137.0,665,21.5,0.196,1,2,0,22818,0
48,20000.0,624,6.5,0.093,2,1,0,10464,0
43,31688.0,619,20.9,0.164,5,2,1,16439,0
40,20000.0,665,3.2,0.066,2,1,1,11994,0
23,70435.0,551,3.2,0.103,3,3,2,17310,0
34,85551.0,664,4.1,0.288,4,1,1,18505,0
38,20000.0,704,9.8,0.315,1,0,1,11282,0
61,35681.0,675,6.7,0.126,1,2,0,15562,0
50,89098.0,705,20.8,0.139,3,2,1,26772,0
19,31278.0,702,0.2,0.18,5,3,1,10122,0
50,65072.0,437,9.9,0.429,2,0,1,13356,0
39,48095.0,726,3.2,0.201,3,2,1,14254,0
35,47731.0,569,1.6,0.104,7,0,0,11298,0
54,29230.0,518,5.7,0.388,3,1,0,6017,0
60,20000.0,517,5.6,0.064,4,2,0,10461,0
59,20000.0,702,,0.189,3,3,1,10028,0
32,64054.0,623,1.8,0.408,0,2,0,14843,0
40,36885.0,448,4.2,0.088,5,2,0,12175,0
50,32506.0,707,4.2,0.196,7,2,1,11842,0
60,,477,3.1,0.189,2,2,0,8588,0
38,28448.0,667,1.3,0.544,3,2,0,5901,0
42,83912.0,679,0.0,0.304,4,3,1,19790,0
28,27773.0,756,28.1,0.355,1,1,2,18319,0
27,20000.0,850,,0.252,6,1,0,16312,0
57,65836.0,486,5.3,0.312,3,2,1,13948,0
65,30826.0,644,40.0,0.183,4,2,0,24738,0
44,37239.0,617,9.0,0.243,2,2,0,12215,0
