epoch,step,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,267.80865478515625,,
0,5,,,,196040.203125,294.39666748046875
0,5,501818.6875,485.4092102050781,,,
1,9,,,286.25067138671875,,
1,11,,,,138579.453125,235.99415588378906
1,11,179472.640625,275.1086730957031,,,
2,14,,,288.58636474609375,,
2,17,,,,132900.953125,237.7744140625
2,17,175965.1875,265.227294921875,,,
3,19,,,326.0247802734375,,
3,23,,,,300618.84375,401.8437805175781
3,23,165011.25,260.9138488769531,,,
4,24,,,479.557373046875,,
4,29,,,304.74072265625,,
4,29,,,,162272.109375,269.2655029296875
4,29,213461.390625,309.9727478027344,,,
5,34,,,289.4612731933594,,
5,35,,,,124306.625,253.8820343017578
5,35,162483.171875,266.7344970703125,,,
6,39,,,276.3902893066406,,
6,41,,,,123269.7265625,244.49795532226562
6,41,147193.21875,257.21575927734375,,,
7,44,,,263.21563720703125,,
7,47,,,,120730.4453125,243.83839416503906
7,47,127018.6171875,238.08343505859375,,,
8,49,,,335.7496032714844,,
8,53,,,,128568.8671875,247.8652801513672
8,53,132872.609375,239.91647338867188,,,
9,54,,,202.91859436035156,,
9,59,,,350.3716735839844,,
9,59,,,,158281.4375,272.0843811035156
9,59,128716.2734375,233.73745727539062,,,
10,64,,,278.2479248046875,,
10,65,,,,136525.546875,274.6206359863281
10,65,143759.9375,252.4930877685547,,,
11,69,,,259.8647155761719,,
11,71,,,,149227.640625,263.6837158203125
11,71,194440.5,291.53375244140625,,,
12,74,,,212.48890686035156,,
12,77,,,,123487.0703125,259.2086181640625
12,77,146125.21875,251.18798828125,,,
13,79,,,241.8145294189453,,
13,83,,,,138513.0625,256.0888977050781
13,83,161628.171875,254.30108642578125,,,
14,84,,,251.2730255126953,,
14,89,,,132.28204345703125,,
14,89,,,,125000.34375,247.10635375976562
14,89,138891.546875,235.7711181640625,,,
15,94,,,357.1626281738281,,
15,95,,,,132107.890625,270.3384094238281
15,95,161181.609375,254.4357147216797,,,
16,99,,,319.59326171875,,
16,101,,,,124103.1328125,249.40756225585938
16,101,161828.546875,267.45904541015625,,,
17,104,,,201.1959228515625,,
17,107,,,,153101.3125,267.7595520019531
17,107,156241.8125,256.2856140136719,,,
18,109,,,332.0047912597656,,
18,113,,,,133416.640625,250.8400421142578
18,113,188560.9375,283.01678466796875,,,
19,114,,,210.2259521484375,,
19,119,,,292.8583984375,,
19,119,,,,122087.953125,246.48158264160156
19,119,134329.671875,251.69590759277344,,,
20,124,,,204.36309814453125,,
20,125,,,,127725.3203125,250.5449676513672
20,125,151040.859375,267.8759460449219,,,
21,129,,,255.80055236816406,,
21,131,,,,123131.09375,249.54486083984375
21,131,143835.71875,255.8211669921875,,,
22,134,,,321.03680419921875,,
22,137,,,,128182.8046875,250.51893615722656
22,137,136223.609375,244.77513122558594,,,
23,139,,,242.4747314453125,,
23,143,,,,135113.140625,254.1462860107422
23,143,130032.59375,225.702392578125,,,
24,144,,,291.4346618652344,,
24,149,,,318.95941162109375,,
24,149,,,,117031.8671875,249.7553253173828
24,149,130798.1484375,248.211181640625,,,
25,154,,,274.1143493652344,,
25,155,,,,115378.90625,247.96401977539062
25,155,138465.078125,241.9289093017578,,,
26,159,,,185.06185913085938,,
26,161,,,,130303.34375,251.75770568847656
26,161,139784.15625,237.16517639160156,,,
27,164,,,319.99407958984375,,
27,167,,,,119722.40625,247.94195556640625
27,167,150811.9375,256.8386535644531,,,
28,169,,,239.0812225341797,,
28,173,,,,132343.265625,250.69032287597656
28,173,122733.921875,232.37892150878906,,,
29,174,,,247.9273223876953,,
29,179,,,152.97341918945312,,
29,179,,,,135718.234375,254.85801696777344
29,179,133377.125,249.56443786621094,,,
30,184,,,350.6446838378906,,
30,185,,,,137376.109375,281.9929504394531
30,185,147925.015625,250.8122100830078,,,
31,189,,,205.1046142578125,,
31,191,,,,127580.296875,245.88002014160156
31,191,160921.75,263.5470275878906,,,
32,194,,,199.67227172851562,,
32,197,,,,161565.96875,309.65191650390625
32,197,140334.125,249.93589782714844,,,
33,199,,,237.92739868164062,,
33,203,,,,117028.7578125,246.23822021484375
33,203,159509.109375,258.7339172363281,,,
34,204,,,269.9776306152344,,
34,209,,,207.62527465820312,,
34,209,,,,189441.625,301.28338623046875
34,209,131128.015625,238.9307861328125,,,
35,214,,,189.3519287109375,,
35,215,,,,121294.4765625,262.6581115722656
35,215,136231.859375,235.6234893798828,,,
36,219,,,291.3841552734375,,
36,221,,,,120658.8515625,247.65243530273438
36,221,165689.65625,274.73370361328125,,,
37,224,,,314.1195983886719,,
37,227,,,,158649.265625,312.3077087402344
37,227,121593.453125,244.02175903320312,,,
38,229,,,311.1449890136719,,
38,233,,,,153552.8125,271.0052185058594
38,233,155653.921875,270.72393798828125,,,
39,234,,,321.730712890625,,
39,239,,,299.56304931640625,,
39,239,,,,137550.265625,257.2597961425781
39,239,158253.546875,270.6385803222656,,,
40,244,,,268.3179931640625,,
40,245,,,,135511.8125,254.43682861328125
40,245,145565.359375,257.46075439453125,,,
41,249,,,338.0989990234375,,
41,251,,,,116098.7265625,241.92510986328125
41,251,148633.953125,244.485595703125,,,
42,254,,,232.3459014892578,,
